date	frame	views	clicks	ctr_percent
20260901	coupangETC	697294	1121	0.161
20260902	coupangETC	745824	672	0.09
20260903	coupangETC	691025	1015	0.147
20260904	coupangETC	647853	1396	0.215
20260905	coupangETC	778326	716	0.092
20260906	coupangETC	685739	651	0.095
20260907	coupangETC	677234	1049	0.155
20260908	coupangETC	779710	1450	0.186
20260909	autoRedETC(app_)	204344	412	0.202
20260909	coupangETC	519593	1170	0.225
20260910	autoRedETC(app_)	631892	1071	0.169
20260911	autoRedETC(app_)	495307	903	0.182
20260914	autoRedETC(app_)	552687	1020	0.185
20260915	autoRedETC(app_)	474287	862	0.182
20260916	autoRedETC(app_)	815984	1820	0.223
20260917	autoRedETC(app_)	799331	2077	0.26
20260918	autoRedETC(app_)	674428	2083	0.309
20260921	autoRedETC(app_)	383725	661	0.172
