date	frame	views	clicks	ctr_percent
20260901	autoETC	820662	430	0.052
20260902	autoETC	1046638	455	0.043
20260903	autoETC	981160	525	0.054
20260904	autoETC	1019265	476	0.047
20260905	autoETC	605924	271	0.045
20260906	autoETC	551332	268	0.049
20260907	autoETC	903557	440	0.049
20260908	autoETC	1012509	470	0.046
20260909	autoRedETC(web_/mob_)	186913	109	0.058
20260909	autoETC	677763	397	0.059
20260910	autoRedETC(web_/mob_)	800593	564	0.07
20260911	autoRedETC(web_/mob_)	935432	543	0.058
20260914	autoRedETC(web_/mob_)	913747	530	0.058
20260915	autoRedETC(web_/mob_)	976564	532	0.054
20260916	autoRedETC(web_/mob_)	1112725	557	0.05
20260917	autoRedETC(web_/mob_)	773712	353	0.046
20260918	autoRedETC(web_/mob_)	1147412	530	0.046
20260921	autoRedETC(web_/mob_)	1072325	393	0.037
