date	theme	place	views	clicks
2026-09-01	blackgold	mob_imbc.com_banner_5_N_v2	380	0
2026-09-01	blackgold	web_cafe.daum.net_banner_3_N_v2	371	0
2026-09-01	blackgold	web_daum.net_banner_1_N_v2	526	0
2026-09-01	blackgold	web_daum.net_banner_3_N_v2	432	0
2026-09-01	blackgold	web_theqoo.net_banner_1_N_v2	1077	0
2026-09-01	blackgold	web_wisetoto.com_banner_3_N_v2	113	0
2026-09-01	whitered	mob_imbc.com_banner_5_N_v2	332	0
2026-09-01	whitered	web_cafe.daum.net_banner_3_N_v2	352	0
2026-09-01	whitered	web_daum.net_banner_1_N_v2	554	0
2026-09-01	whitered	web_daum.net_banner_3_N_v2	434	0
2026-09-01	whitered	web_theqoo.net_banner_1_N_v2	1085	0
2026-09-01	whitered	web_wisetoto.com_banner_3_N_v2	101	0
2026-09-02	blackgold	mob_imbc.com_banner_5_N_v2	27747	0
2026-09-02	blackgold	mob_ppomppu.co.kr_banner_3_N_v2	4024	2
2026-09-02	blackgold	mob_theqoo.net_banner_3_N_v2	11411	19
2026-09-02	blackgold	web_cafe.daum.net_banner_3_N_v2	4958	2
2026-09-02	blackgold	web_daum.net_banner_1_N_v2	9038	8
2026-09-02	blackgold	web_daum.net_banner_3_N_v2	13464	2
2026-09-02	blackgold	web_nate.com_banner_1_N_v2	1335	1
2026-09-02	blackgold	web_ppomppu.co.kr_banner_1_N_v2	6446	5
2026-09-02	blackgold	web_theqoo.net_banner_1_N_v2	27153	4
2026-09-02	blackgold	web_theqoo.net_banner_3_N_v2	2157	1
2026-09-02	blackgold	web_v.daum.net_banner_1_N_v2	4449	5
2026-09-02	blackgold	web_wisetoto.com_banner_3_N_v2	3128	0
2026-09-02	blackgold	기타 지면	116354	29
2026-09-02	whitered	mob_imbc.com_banner_5_N_v2	27712	0
2026-09-02	whitered	mob_ppomppu.co.kr_banner_3_N_v2	3976	0
2026-09-02	whitered	mob_theqoo.net_banner_3_N_v2	11221	6
2026-09-02	whitered	web_cafe.daum.net_banner_3_N_v2	4941	2
2026-09-02	whitered	web_daum.net_banner_1_N_v2	8764	16
2026-09-02	whitered	web_daum.net_banner_3_N_v2	13620	3
2026-09-02	whitered	web_nate.com_banner_1_N_v2	1418	2
2026-09-02	whitered	web_ppomppu.co.kr_banner_1_N_v2	6501	2
2026-09-02	whitered	web_theqoo.net_banner_1_N_v2	27204	8
2026-09-02	whitered	web_theqoo.net_banner_3_N_v2	2201	0
2026-09-02	whitered	web_v.daum.net_banner_1_N_v2	4340	2
2026-09-02	whitered	web_wisetoto.com_banner_3_N_v2	3163	0
2026-09-02	whitered	기타 지면	116477	26
2026-09-03	blackgold	mob_imbc.com_banner_5_N_v2	66755	0
2026-09-03	blackgold	mob_ppomppu.co.kr_banner_3_N_v2	15063	1
2026-09-03	blackgold	mob_theqoo.net_banner_3_N_v2	30081	28
2026-09-03	blackgold	web_cafe.daum.net_banner_3_N_v2	57159	10
2026-09-03	blackgold	web_daum.net_banner_1_N_v2	63046	69
2026-09-03	blackgold	web_daum.net_banner_3_N_v2	135603	20
2026-09-03	blackgold	web_nate.com_banner_1_N_v2	31050	7
2026-09-03	blackgold	web_ppomppu.co.kr_banner_1_N_v2	42857	15
2026-09-03	blackgold	web_theqoo.net_banner_1_N_v2	162200	45
2026-09-03	blackgold	web_theqoo.net_banner_3_N_v2	19352	3
2026-09-03	blackgold	web_v.daum.net_banner_1_N_v2	34928	30
2026-09-03	blackgold	web_wisetoto.com_banner_3_N_v2	9869	1
2026-09-03	blackgold	기타 지면	394709	208
2026-09-03	whitered	mob_imbc.com_banner_5_N_v2	66573	1
2026-09-03	whitered	mob_ppomppu.co.kr_banner_3_N_v2	14892	5
2026-09-03	whitered	mob_theqoo.net_banner_3_N_v2	30171	29
2026-09-03	whitered	web_cafe.daum.net_banner_3_N_v2	57424	14
2026-09-03	whitered	web_daum.net_banner_1_N_v2	63222	131
2026-09-03	whitered	web_daum.net_banner_3_N_v2	135213	36
2026-09-03	whitered	web_nate.com_banner_1_N_v2	30974	28
2026-09-03	whitered	web_ppomppu.co.kr_banner_1_N_v2	42559	25
2026-09-03	whitered	web_theqoo.net_banner_1_N_v2	161924	61
2026-09-03	whitered	web_theqoo.net_banner_3_N_v2	19300	2
2026-09-03	whitered	web_v.daum.net_banner_1_N_v2	34824	17
2026-09-03	whitered	web_wisetoto.com_banner_3_N_v2	9970	1
2026-09-03	whitered	기타 지면	394867	239
2026-09-04	blackgold	mob_imbc.com_banner_5_N_v2	15984	2
2026-09-04	blackgold	mob_ppomppu.co.kr_banner_3_N_v2	6475	4
2026-09-04	blackgold	mob_theqoo.net_banner_3_N_v2	10919	11
2026-09-04	blackgold	web_cafe.daum.net_banner_3_N_v2	20362	8
2026-09-04	blackgold	web_daum.net_banner_1_N_v2	21457	39
2026-09-04	blackgold	web_daum.net_banner_3_N_v2	98545	5
2026-09-04	blackgold	web_nate.com_banner_1_N_v2	21532	15
2026-09-04	blackgold	web_ppomppu.co.kr_banner_1_N_v2	16666	6
2026-09-04	blackgold	web_theqoo.net_banner_1_N_v2	74930	24
2026-09-04	blackgold	web_theqoo.net_banner_3_N_v2	9436	0
2026-09-04	blackgold	web_v.daum.net_banner_1_N_v2	10031	12
2026-09-04	blackgold	web_wisetoto.com_banner_3_N_v2	3482	0
2026-09-04	blackgold	기타 지면	132686	74
2026-09-04	whitered	mob_imbc.com_banner_5_N_v2	71186	3
2026-09-04	whitered	mob_ppomppu.co.kr_banner_3_N_v2	18283	11
2026-09-04	whitered	mob_theqoo.net_banner_3_N_v2	41413	36
2026-09-04	whitered	web_cafe.daum.net_banner_3_N_v2	84079	35
2026-09-04	whitered	web_daum.net_banner_1_N_v2	89707	223
2026-09-04	whitered	web_daum.net_banner_3_N_v2	259396	56
2026-09-04	whitered	web_nate.com_banner_1_N_v2	65374	46
2026-09-04	whitered	web_ppomppu.co.kr_banner_1_N_v2	54102	25
2026-09-04	whitered	web_theqoo.net_banner_1_N_v2	314563	84
2026-09-04	whitered	web_theqoo.net_banner_3_N_v2	36050	1
2026-09-04	whitered	web_v.daum.net_banner_1_N_v2	38803	28
2026-09-04	whitered	web_wisetoto.com_banner_3_N_v2	18223	4
2026-09-04	whitered	기타 지면	546768	280
2026-09-05	whitered	mob_imbc.com_banner_5_N_v2	89749	2
2026-09-05	whitered	mob_ppomppu.co.kr_banner_3_N_v2	27350	6
2026-09-05	whitered	mob_theqoo.net_banner_3_N_v2	55777	31
2026-09-05	whitered	web_cafe.daum.net_banner_3_N_v2	28494	7
2026-09-05	whitered	web_daum.net_banner_1_N_v2	31275	85
2026-09-05	whitered	web_daum.net_banner_3_N_v2	208580	22
2026-09-05	whitered	web_nate.com_banner_1_N_v2	19977	25
2026-09-05	whitered	web_ppomppu.co.kr_banner_1_N_v2	38675	12
